org,file_,URL,File,Lines_of_code,Require,Ensure,Include,Attribute,Hard_coded_string,Comment,Command,File_mode,SSH_KEY,defect_status
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/common.pp,0,4,202,5,6,11,42,34,22,3,4,4,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/jenkins/manifests/swarm_slave.pp,0,3,108,3,8,11,33,20,16,0,2,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-concat/manifests/setup.pp,0,1,49,0,2,2,13,5,14,0,2,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/tpi/manifests/vmware_lab.pp,0,1,109,6,5,11,40,25,10,1,1,1,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/partnershare.pp,0,1,81,2,3,5,28,23,12,1,1,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/ssh/manifests/ldap.pp,0,4,90,0,6,9,23,20,14,0,3,3,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_stats/manifests/collector.pp,1,7,247,7,8,16,90,61,26,1,7,7,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/jenkins/manifests/slave.pp,0,0,35,1,2,3,10,7,8,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/landing_page/manifests/params.pp,1,0,52,0,0,0,0,19,4,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_stats/manifests/migration.pp,0,2,90,2,3,7,27,17,11,3,2,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/auth_file.pp,2,1,25,0,0,0,1,4,5,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/zabbix/manifests/frontend.pp,1,5,212,5,8,17,71,47,33,0,4,4,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/nailgun_demo.pp,3,6,290,16,14,30,148,108,19,6,2,2,1
